"city","thehour","Weekday","Journeys"
"amiens",18,0,4.64583333333333
"amiens",18,1,5.10483870967742
"amiens",19,0,3.85714285714286
"amiens",19,1,4.70634920634921
"amiens",20,0,3.29787234042553
"amiens",20,1,3.87096774193548
"amiens",21,0,2.51724137931034
"amiens",21,1,2.84313725490196
"amiens",22,0,1
"amiens",22,1,1.76315789473684
"amiens",23,0,1
"amiens",23,1,1.4
"amstetten",2,1,1
"amstetten",4,1,1
"amstetten",5,1,1
"amstetten",6,0,1
"amstetten",6,1,1.5
"amstetten",7,1,1.5
"amstetten",8,1,1
"amstetten",9,0,1
"amstetten",9,1,1
"amstetten",10,1,1.25
"amstetten",11,1,4
"amstetten",12,0,1
"amstetten",12,1,1
"amstetten",13,1,1
"amstetten",14,1,1
"amstetten",15,1,2.5
"anqiu",0,0,182.176470588235
"anqiu",0,1,194.604651162791
"anqiu",1,0,251.450980392157
"anqiu",1,1,315.875968992248
"anqiu",2,0,299.490196078431
"anqiu",2,1,369.186046511628
"anqiu",3,0,243.372549019608
"anqiu",3,1,279.341085271318
"anqiu",4,0,192.254901960784
"anqiu",4,1,217.418604651163
"anqiu",5,0,143.82
"anqiu",5,1,152.46511627907
"anqiu",6,0,62.34
"anqiu",6,1,59.6899224806202
"anqiu",7,0,23.04
"anqiu",7,1,26.3307086614173
"anqiu",8,0,22.2941176470588
"anqiu",8,1,14.784
"anqiu",9,0,8.38775510204082
"anqiu",9,1,16.8412698412698
"anqiu",10,0,8.71428571428571
"anqiu",10,1,5.98347107438016
"anqiu",11,0,8.1
"anqiu",11,1,7.53389830508475
"anqiu",12,0,13.2745098039216
"anqiu",12,1,19.2047244094488
"anqiu",13,0,78.3725490196078
"anqiu",13,1,83.1484375
"anqiu",14,0,187.627450980392
"anqiu",14,1,211.875
"anqiu",15,0,311.274509803922
"anqiu",15,1,384.8671875
"anqiu",16,0,239.117647058824
"anqiu",16,1,286.333333333333
"anqiu",17,0,199.078431372549
"anqiu",17,1,187.5703125
"anqiu",18,0,170.607843137255
"anqiu",18,1,160.102362204724
"anqiu",19,0,220.705882352941
"anqiu",19,1,239.543307086614
"anqiu",20,0,143.607843137255
"anqiu",20,1,163.795275590551
"anqiu",21,0,152.764705882353
"anqiu",21,1,170.637795275591
"anqiu",22,0,172
"anqiu",22,1,196.412698412698
"anqiu",23,0,145.666666666667
"anqiu",23,1,148.259842519685
"antalya",0,0,3
"antalya",0,1,2
"antalya",1,1,1
"antalya",2,0,1
"antalya",2,1,1
"antalya",3,0,1
"antalya",3,1,1
"antalya",4,0,2
"antalya",5,1,1
"antalya",6,0,1.5
"antalya",6,1,1
"antalya",7,0,2
"antalya",7,1,3
"antalya",8,0,5
"antalya",8,1,3
"antalya",9,0,1.5
"antalya",9,1,2
"antalya",10,0,1
"antalya",10,1,3
"antalya",11,0,3.5
"antalya",11,1,2
"antalya",12,0,2.5
"antalya",12,1,3
"antalya",13,0,4
"antalya",13,1,7
"antalya",14,0,8.5
"antalya",14,1,4.5
"antalya",15,0,2
"antalya",15,1,2
"antalya",16,0,1
"antalya",16,1,1
"antalya",18,1,8.33333333333333
"antalya",21,1,1
"antwerp",0,0,193.358490566038
"antwerp",0,1,88.3538461538461
"antwerp",1,0,139.245283018868
"antwerp",1,1,127.553846153846
"antwerp",2,0,122.509433962264
"antwerp",2,1,421.930769230769
"antwerp",3,0,143.150943396226
"antwerp",3,1,1076.03875968992
"antwerp",4,0,327.792452830189
"antwerp",4,1,1539.76153846154
"antwerp",5,0,573.452830188679
"antwerp",5,1,1010.30769230769
"antwerp",6,0,729.641509433962
"antwerp",6,1,753.146153846154
"antwerp",7,0,809.811320754717
"antwerp",7,1,784.387596899225
"antwerp",8,0,867.77358490566
"antwerp",8,1,1024.67692307692
"antwerp",9,0,940.528301886792
"antwerp",9,1,908.423076923077
"antwerp",10,0,968.415094339623
"antwerp",10,1,876.415384615385
"antwerp",11,0,908.754716981132
