"city","tzadj_hour","Weekday","Journeys"
"aspen",21,0,15.093023255814
"aspen",21,1,12.5714285714286
"aspen",22,0,11.3636363636364
"aspen",22,1,9.27884615384615
"aspen",23,0,6.62790697674419
"aspen",23,1,5.07291666666667
"astana",0,0,40.1111111111111
"astana",0,1,32.0416666666667
"astana",1,0,20.9411764705882
"astana",1,1,25.5744680851064
"astana",2,0,21.3333333333333
"astana",2,1,19.8979591836735
"astana",3,0,10.1111111111111
"astana",3,1,12.8260869565217
"astana",4,0,7.93333333333333
"astana",4,1,9.55
"astana",5,0,5.35294117647059
"astana",5,1,7.02173913043478
"astana",6,0,11.8
"astana",6,1,15.7173913043478
"astana",7,0,34.9411764705882
"astana",7,1,69
"astana",8,0,52
"astana",8,1,130.377777777778
"astana",9,0,59.1578947368421
"astana",9,1,75.7659574468085
"astana",10,0,56.1666666666667
"astana",10,1,56.6666666666667
"astana",11,0,61.7368421052632
"astana",11,1,59.2553191489362
"astana",12,0,70.7894736842105
"astana",12,1,71.5681818181818
"astana",13,0,75.9444444444444
"astana",13,1,91.8181818181818
"astana",14,0,82.6842105263158
"astana",14,1,96.7826086956522
"astana",15,0,79.1764705882353
"astana",15,1,79.75
"astana",16,0,85.2105263157895
"astana",16,1,80.0909090909091
"astana",17,0,93.7647058823529
"astana",17,1,105.911111111111
"astana",18,0,101.368421052632
"astana",18,1,159.826086956522
"astana",19,0,99.9473684210526
"astana",19,1,167.913043478261
"astana",20,0,98.6470588235294
"astana",20,1,128.822222222222
"astana",21,0,82.4210526315789
"astana",21,1,93.2978723404255
"astana",22,0,62.2105263157895
"astana",22,1,67.6458333333333
"astana",23,0,47.4705882352941
"astana",23,1,49.2857142857143
"atlanta",0,0,5.875
"atlanta",0,1,4.5
"atlanta",1,0,4.20833333333333
"atlanta",1,1,2.6875
"atlanta",2,0,3.71739130434783
"atlanta",2,1,2.875
"atlanta",3,0,3.21052631578947
"atlanta",3,1,2.26923076923077
"atlanta",4,0,2.35897435897436
"atlanta",4,1,5.525
"atlanta",5,0,2.72727272727273
"atlanta",5,1,4.42857142857143
"atlanta",6,0,4.64102564102564
"atlanta",6,1,5.03478260869565
"atlanta",7,0,7.53061224489796
"atlanta",7,1,10.9833333333333
"atlanta",8,0,8.34
"atlanta",8,1,14.3636363636364
"atlanta",9,0,15.7
"atlanta",9,1,14.2727272727273
"atlanta",10,0,21.78
"atlanta",10,1,14.6446280991736
"atlanta",11,0,26.7
"atlanta",11,1,16.2231404958678
"atlanta",12,0,32.92
"atlanta",12,1,19.6
"atlanta",13,0,34.42
"atlanta",13,1,22.0081967213115
"atlanta",14,0,39
"atlanta",14,1,19.3770491803279
"atlanta",15,0,37.36
"atlanta",15,1,18.8114754098361
"atlanta",16,0,38.2
"atlanta",16,1,21.0409836065574
"atlanta",17,0,36.74
"atlanta",17,1,25.8770491803279
"atlanta",18,0,34.62
"atlanta",18,1,25.7377049180328
"atlanta",19,0,30.34
"atlanta",19,1,24.3606557377049
"atlanta",20,0,22.32
"atlanta",20,1,18.0416666666667
"atlanta",21,0,17.92
"atlanta",21,1,11.0247933884298
"atlanta",22,0,11.64
"atlanta",22,1,7.54621848739496
"atlanta",23,0,8.71428571428571
"atlanta",23,1,4.63963963963964
"auckland",0,0,1.71428571428571
"auckland",0,1,2
"auckland",1,1,2
"auckland",2,0,4
"auckland",2,1,2.5
"auckland",3,1,1
"auckland",5,0,1
"auckland",5,1,2
"auckland",6,0,1
"auckland",6,1,1.11904761904762
"auckland",7,0,1.27272727272727
"auckland",7,1,1.55769230769231
"auckland",8,0,1.77272727272727
"auckland",8,1,1.89024390243902
"auckland",9,0,1.64285714285714
"auckland",9,1,1.55882352941176
"auckland",10,0,2.75
